2052,4665,1127,2558,3663,2627,772,22177,3742,3227,22492,4665,5145,0,2644,3572,540,1086,1139,7707,12232,2693,3548,3736,4091,4112,2186,2573,2607,7707,4107,2597,513,1227,2698,1605,22392,7653,3418,3210,7653,4120,4165,4866,7653
711,2899,1679,2178,2722,861,1880,21236,1976,1461,21552,2899,3379,2644,0,2631,3183,1976,1922,6766,11292,513,1326,961,3150,2238,1660,1375,165,6766,1893,154,2268,1734,1406,1233,21452,6422,2477,2269,6422,2354,1832,2494,6422
927,5621,2810,1453,117,3583,3390,19893,4698,4183,20209,5621,6102,3788,2861,0,4051,2680,2626,4621,9147,3205,4248,3302,1159,5171,1770,1676,2824,4621,4640,2814,3305,2640,1585,2481,20109,8763,154,631,8763,5076,4173,5262,8763
1574,5205,1667,2821,3926,3166,1311,22440,4281,3766,22755,5205,5685,540,3184,3835,0,1545,1670,7970,12495,3232,4087,4303,4354,4652,2449,2836,3147,7970,4646,3136,1053,1797,2961,2145,22655,8192,3681,3473,8192,4659,4705,5405,8192
2105,4471,297,1449,2554,2433,617,21068,3548,3033,21384,4471,4952,1086,1956,2463,1545,0,53,6598,11124,2300,3354,2931,2982,3919,1077,1465,1919,6598,3913,1909,627,249,1590,775,21283,8392,2309,2101,8392,3926,3802,4672,8392
1027,4418,243,1395,2500,2380,823,21014,3495,2980,21330,4418,4898,1139,1903,2410,1599,53,0,6544,11070,2246,3301,2878,2929,3865,1024,1411,1866,6544,3860,1856,680,196,1536,722,21230,8339,2256,2048,8339,3873,3749,4619,8339
502,9553,6742,5992,4508,7515,7321,22911,8630,8115,23226,9553,10033,7720,6793,4626,7983,6611,6558,0,4526,7136,8180,7234,4876,7366,5701,5607,6756,0,8572,6745,7236,6572,5516,6413,23126,10958,4780,4563,10958,9008,8105,7456,10958
911,11364,11226,10476,8993,11750,11806,27395,10756,11261,27711,11364,11423,12204,11277,9110,12467,11096,11042,4485,0,11621,10804,10770,9360,10424,10186,10092,11240,4485,10232,11230,11721,11056,10001,10897,27611,14016,9264,9047,14016,10923,10116,10515,14016
2096,2527,2023,2521,3066,489,1998,21580,1604,1089,21895,2527,3007,2623,513,2975,3162,2319,2266,7110,11635,0,1178,1298,3494,1974,2004,1718,607,7110,1745,596,2247,2078,1750,1577,21795,6385,2821,2613,6385,1982,1795,2727,6385
1939,1971,3199,3532,4078,1184,2916,22592,901,850,22908,1971,2272,3541,1326,3987,4081,3376,3323,8122,10840,1178,0,1868,4506,912,3015,2730,1491,8122,567,1481,3165,3169,2762,2668,22808,4895,3833,3625,4895,1530,700,1168,4895
695,3732,2342,2586,3132,1854,3041,21646,2969,2455,21961,3732,3791,3666,961,3041,4206,2993,2940,7176,10745,1298,1868,0,3560,2791,2069,1783,1052,7176,2261,982,3290,2397,1816,1896,21861,6383,2887,2679,6383,3291,1793,2882,6383
1088,5933,3121,1906,1254,3894,3701,19387,5009,4495,19702,5933,6413,4099,3172,1145,4362,2991,2937,4857,9382,3516,4559,3613,0,5482,2081,1987,3135,4857,4951,3125,3616,2952,1896,2792,19602,9074,1299,1515,9074,5387,4484,5573,9074
357,1129,3805,4373,4917,1529,3523,23431,578,1040,23746,1129,1430,4148,2238,4826,4687,3982,3929,7400,10409,1945,912,2868,5345,0,3855,3570,2686,7400,536,2675,3772,3905,3601,3428,23646,4297,4672,4464,4297,688,1074,483,4297
2062,4497,994,517,1623,2459,1652,20137,3574,3059,20452,4497,4977,2172,1737,1532,2435,1063,1010,5667,10192,2080,3123,2177,2051,4046,0,710,1699,5667,3515,1689,1688,1049,836,711,20352,7638,1378,1170,7638,3951,3048,4137,7638
173,4108,1224,1095,1574,2070,1924,20088,3185,2670,20403,4108,4588,2611,1348,1483,2874,1502,1449,5618,10143,1691,2735,1789,2002,3657,578,0,1311,5618,3127,1300,1911,1280,125,779,20303,7249,1329,1121,7249,3563,2660,3748,7249
1028,3286,1642,2141,2685,1248,1842,21199,2363,1848,21515,3286,3766,2607,165,2594,3146,1939,1885,6729,11255,607,1491,1052,3113,2733,1623,1338,0,6729,2058,70,2231,1697,1369,1196,21415,6513,2440,2232,6513,2740,1923,3012,6513
481,9553,6742,5992,4508,7515,7321,22911,8630,8115,23226,9553,10033,7720,6793,4626,7983,6611,6558,0,4526,7136,8180,7234,4876,7366,5701,5607,6756,0,8572,6745,7236,6572,5516,6413,23126,10958,4780,4563,10958,9008,8105,7456,10958
2041,1563,3796,3925,4470,1520,3513,22984,663,1030,23300,1563,1864,4138,1893,4379,4677,3973,3919,8514,10268,1745,567,2261,4898,536,3407,3122,2058,8514,0,2320,3762,3735,3154,3234,23200,4440,4225,4017,4440,1122,467,713,4440
1174,3275,1632,2130,2675,1237,1832,21189,2352,1837,21504,3275,3756,2596,154,2584,3136,1928,1875,6719,11244,596,1481,982,3103,2851,1613,1327,70,6719,2320,0,2221,1687,1359,1186,21404,6443,2430,2222,6443,2730,1853,2942,6443
122,4289,687,2074,3179,2251,288,21693,3366,2851,22009,4289,4769,513,2109,3089,1053,627,680,7223,11749,2317,3172,3030,3608,3736,1703,1963,2072,7223,3731,2062,0,787,2088,1165,21909,7277,2935,2727,7277,3744,3789,4490,7277
1461,4394,100,1410,2515,2356,799,21029,3471,2956,21344,4394,4875,1227,1715,2424,1797,249,196,6559,11084,2059,3150,2399,2943,3842,1038,1331,1678,6559,3836,1668,787,0,1456,534,21244,7860,2270,2062,7860,3849,3270,4595,7860
837,4175,1349,1220,1482,2137,2049,19996,3252,2737,20312,4175,4656,2736,1415,1392,2999,1627,1574,5526,10052,1759,2802,1856,1911,3725,703,125,1378,5526,3194,1368,2036,1405,0,904,20212,7317,1238,1030,7317,3630,2727,3816,7317
840,3974,478,1225,2330,1936,1178,20844,3051,2536,21160,3974,4454,1605,1214,2239,2145,775,722,6374,10900,1557,2648,1898,2758,3421,708,791,1177,6374,3236,1166,1165,534,916,0,21060,7359,2085,1877,7359,3429,2769,4175,7359
2094,24154,21343,20092,19930,22116,21922,322,23231,22716,657,24154,24634,22321,21394,19812,22584,21212,21158,24233,28759,21737,22780,21834,19720,23703,20302,20208,21357,24233,23173,21346,21837,21173,20117,21013,0,27295,19658,19736,27295,23609,22705,23794,27295
2077,3054,7825,8070,8615,5091,7084,27129,4139,4602,27445,3054,3535,7709,6445,8525,8249,8477,8423,10938,13947,5507,4916,6406,9044,4318,7552,7267,6536,10938,4540,6466,7334,7881,7300,7380,27345,0,8371,8163,0,3556,4612,3961,0
1364,5387,2576,1299,271,3349,3156,19739,4464,3949,20055,5387,5868,3554,2627,154,3817,2446,2392,4775,9301,2971,4014,3068,1313,4937,1536,1442,2590,4775,4406,2580,3071,2406,1351,2247,19955,8529,0,501,8529,4842,3939,5028,8529
1208,5052,2240,1490,514,3013,2820,19601,4128,3614,19917,5052,5532,3218,2291,631,3481,2110,2056,4558,9084,2635,3678,2732,1515,4601,1200,1106,2254,4558,4070,2244,2735,2070,1015,1911,19817,8193,491,0,8193,4506,3603,4692,8193
2078,3054,7825,8070,8615,5091,7084,27129,4139,4602,27445,3054,3535,7709,6445,8525,8249,8477,8423,10938,13947,5507,4916,6406,9044,4318,7552,7267,6536,10938,4540,6466,7334,7881,7300,7380,27345,0,8371,8163,0,3556,4612,3961,0
1892,740,3812,4379,4923,1536,3529,23437,584,1046,23753,740,1221,4154,2323,4832,4693,3988,3935,8967,11117,1951,1463,3283,5351,919,3861,3576,2692,8967,1134,2682,3778,3912,3607,3434,23653,3728,4678,4470,3728,0,1553,941,3728
468,1938,3213,3457,4003,1646,3533,22517,1003,1157,22833,1938,1997,4158,1832,3912,4698,3864,3811,8047,10152,1795,700,1793,4431,998,2940,2655,1923,8047,467,1853,3783,3268,2687,2767,22733,4590,3758,3550,4590,1497,0,1089,4590
1636,996,4356,4601,5146,2069,4062,23660,1077,1579,23976,996,1107,4687,2449,5056,5226,4522,4468,7469,10478,2300,1123,2937,5575,524,4083,3798,3067,7469,747,2997,4311,4412,3831,3911,23876,4092,4902,4694,4092,752,1143,0,4092
2064,3054,7825,8070,8615,5091,7084,27129,4139,4602,27445,3054,3535,7709,6445,8525,8249,8477,8423,10938,13947,5507,4916,6406,9044,4318,7552,7267,6536,10938,4540,6466,7334,7881,7300,7380,27345,0,8371,8163,0,3556,4612,3961,0
